	DATE	OPEN	CLOSE	HIGH	LOW	LTP	VOLUME	VALUE	NO OF TRADES
196	2022-04-04	509.3	512.4	514.9	506.0	512.2	16257176	8314232026.45	198168
197	2022-04-01	491.0	508.2	509.75	491.0	508.0	18527226	9326126941.05	197319
198	2022-03-31	494.3	493.55	497.55	492.2	493.3	10240982	5063610021.25	124653
199	2022-03-30	499.3	494.3	500.4	492.3	493.0	16461225	8174331159.8	196570
200	2022-03-29	500.0	495.0	501.4	491.7	495.5	14301429	7093976888.55	149505
201	2022-03-28	490.95	497.5	498.6	481.95	497.75	16738684	8229888608.85	201945
202	2022-03-25	491.75	490.7	493.3	486.6	491.8	11541196	5655597136.55	145141
203	2022-03-24	485.0	487.1	494.8	483.5	486.9	18174877	8895507386.05	191083
204	2022-03-23	498.5	490.65	502.4	489.2	489.95	15800195	7823206413.75	168550
205	2022-03-22	490.6	493.7	495.8	477.25	495.1	26157969	12720246447.95	264129
206	2022-03-21	502.0	490.6	502.0	489.0	490.25	19064060	9404735444.25	224101
207	2022-03-17	499.0	501.9	503.5	498.3	501.0	22947673	11503533276.5	221065
208	2022-03-16	493.0	492.75	494.3	489.4	491.95	16211288	7979296625.65	172261
209	2022-03-15	489.0	485.85	490.5	480.65	485.0	27204899	13211211846.75	300344
210	2022-03-14	471.0	485.15	486.0	470.55	485.5	27750689	13332216131.55	275270
211	2022-03-11	466.4	470.35	474.8	462.0	470.85	22091309	10387624187.45	219456
212	2022-03-10	469.9	468.7	476.65	461.65	467.4	34553299	16238198015.45	328612
213	2022-03-09	442.0	451.7	454.3	438.55	452.3	32331325	14402086959.4	347913
214	2022-03-08	438.0	440.3	442.1	425.0	440.0	42510207	18468217945.75	431966
215	2022-03-07	447.5	440.3	453.95	433.45	441.15	33720472	14832043226.3	474609
216	2022-03-04	460.3	461.95	470.9	457.65	462.45	20684268	9597616194.8	271479
217	2022-03-03	480.0	467.4	483.4	464.6	466.65	20358590	9577747166.6	255355
218	2022-03-02	478.0	474.25	479.8	467.0	475.0	22003848	10409916776.85	319620
219	2022-02-28	476.9	483.2	485.3	473.1	483.7	18069367	8668636657.3	240076
220	2022-02-25	480.0	482.95	491.9	479.3	483.75	21792287	10575686869.05	245306
221	2022-02-24	480.0	472.65	487.95	468.0	470.85	32356037	15522908575.3	430597
222	2022-02-23	503.0	498.7	505.35	497.25	498.15	13899433	6968058858.15	174252
223	2022-02-22	500.9	498.4	505.3	495.5	497.9	27108772	13557096740.05	285946
224	2022-02-21	511.55	511.85	517.5	504.65	511.5	16866932	8632877138.25	186884
225	2022-02-18	510.1	515.3	520.9	510.1	515.0	15111223	7794991046.45	167187
226	2022-02-17	520.0	512.95	520.0	511.15	511.6	16408356	8454056421.8	183638
227	2022-02-16	526.5	516.7	528.0	514.0	515.0	19773807	10281277420.45	223564
228	2022-02-15	502.0	524.8	526.85	497.1	524.0	23842951	12170005170.25	270915
229	2022-02-14	515.0	501.4	515.6	499.7	500.25	26153332	13303247218.75	364555
230	2022-02-11	536.25	529.6	537.7	527.1	528.25	14607095	7774921814.25	177760
231	2022-02-10	537.1	540.55	543.95	534.4	540.3	18659370	10082567002.45	228387
232	2022-02-09	534.95	535.25	536.5	527.75	536.3	14856155	7914232904.95	191210
233	2022-02-08	535.5	531.35	537.65	519.0	530.4	26567546	14038348935.45	305464
234	2022-02-07	531.9	533.25	549.0	525.25	533.9	52289545	28146960844.85	564783
235	2022-02-04	542.15	530.3	546.4	527.3	529.45	25332894	13575988476.0	325989
236	2022-02-03	537.15	540.1	544.7	537.15	540.0	22717677	12290016550.35	323435
237	2022-02-02	536.65	539.8	544.25	531.35	539.65	21661864	11631191094.5	222610
238	2022-02-01	543.95	532.3	543.95	520.0	532.6	32245356	17205650890.2	330437
239	2022-01-31	529.0	538.3	540.9	527.05	537.95	28674232	15358865480.55	315416
240	2022-01-28	534.0	523.45	536.4	521.4	523.3	24715250	13093592191.65	310048
241	2022-01-27	503.55	528.95	530.85	503.2	529.0	35409230	18429506726.9	391838
242	2022-01-25	490.0	514.65	517.5	489.0	513.35	21791739	11058388452.7	290929
243	2022-01-24	502.4	494.15	506.8	488.0	493.7	20233933	10062560914.35	255220
244	2022-01-21	505.3	502.7	507.5	498.0	504.05	16947941	8527531247.25	215520
245	2022-01-20	516.0	511.4	519.15	508.0	511.0	17724642	9107052842.4	193420
246	2022-01-19	505.0	515.8	517.65	500.3	515.05	16079457	8178248303.4	190208
247	2022-01-18	514.0	506.8	517.45	505.0	507.4	12592506	6456195519.55	144399
248	2022-01-17	508.0	514.0	518.9	507.55	514.2	17422211	8978884449.1	230852
