DATE,CLOSE,HIGH,LOW,PREV. CLOSE,VWAP,NO OF TRADES,OPEN
31/05/2023,2493.35,2573.0,2428.0,2496.45,2506.49,181970,2482.0
01/06/2023,2492.15,2560.0,2485.3,2493.35,2507.49,72211,2499.9
02/06/2023,2445.05,2538.9,2425.0,2492.15,2459.27,141696,2535.0
05/06/2023,2433.95,2514.0,2428.0,2445.05,2465.5,124934,2463.2
06/06/2023,2433.65,2506.95,2425.9,2433.95,2446.03,142108,2475.0
07/06/2023,2439.55,2466.95,2435.0,2433.65,2449.14,85030,2453.0
08/06/2023,2429.15,2475.9,2369.05,2439.55,2432.48,143560,2450.0
09/06/2023,2451.15,2458.9,2428.0,2429.15,2446.22,70948,2447.95
12/06/2023,2484.8,2505.0,2432.6,2451.15,2475.91,109217,2460.0
13/06/2023,2462.55,2505.0,2442.2,2484.8,2477.69,84140,2499.0
14/06/2023,2457.15,2484.8,2452.35,2462.55,2466.03,52469,2469.9
15/06/2023,2485.65,2527.0,2462.9,2457.15,2497.56,128109,2469.0
16/06/2023,2509.6,2526.9,2487.4,2485.65,2509.05,119702,2499.2
19/06/2023,2401.4,2521.6,2350.0,2509.6,2414.19,240481,2504.0
20/06/2023,2414.8,2435.0,2390.0,2401.4,2413.71,94144,2435.0
21/06/2023,2405.95,2440.0,2393.1,2414.8,2403.11,97423,2426.7
22/06/2023,2397.25,2449.95,2360.0,2405.95,2404.13,126915,2425.1
23/06/2023,2233.55,2392.3,2163.3,2397.25,2245.65,538949,2392.3
26/06/2023,2295.6,2336.45,2173.05,2233.55,2283.14,282882,2210.05
27/06/2023,2284.45,2343.85,2271.0,2295.6,2305.44,119408,2328.95
28/06/2023,2402.0,2418.6,2293.85,2284.45,2330.9,319100,2300.0
30/06/2023,2388.05,2437.95,2350.0,2402.0,2390.92,175623,2437.95
03/07/2023,2385.5,2417.85,2373.2,2388.05,2392.89,89985,2405.0
04/07/2023,2387.7,2414.0,2373.05,2385.5,2395.02,79061,2397.0
05/07/2023,2399.15,2412.05,2374.0,2387.7,2395.05,64720,2391.0
06/07/2023,2402.9,2427.6,2390.0,2399.15,2406.35,72164,2399.15
07/07/2023,2379.6,2409.95,2368.1,2402.9,2386.37,63030,2395.0
10/07/2023,2410.25,2462.7,2355.0,2379.6,2411.32,133840,2392.8
11/07/2023,2422.9,2444.95,2388.0,2410.25,2423.62,89046,2423.75
12/07/2023,2387.9,2432.0,2380.45,2422.9,2400.74,62902,2429.9
13/07/2023,2362.05,2405.7,2355.55,2387.9,2381.02,54521,2397.0
14/07/2023,2376.1,2385.0,2340.0,2362.05,2363.27,59601,2375.0
17/07/2023,2408.55,2459.5,2391.3,2376.1,2425.15,126827,2399.9
18/07/2023,2416.9,2510.0,2405.2,2408.55,2446.49,218769,2415.0
19/07/2023,2423.75,2443.0,2416.9,2416.9,2428.08,66734,2428.65
20/07/2023,2419.75,2433.9,2400.0,2423.75,2419.72,69720,2428.95
21/07/2023,2416.3,2457.85,2395.3,2419.75,2432.97,86825,2410.0
24/07/2023,2418.2,2439.4,2412.05,2416.3,2424.7,44300,2430.0
25/07/2023,2466.65,2479.0,2416.0,2418.2,2446.15,93641,2428.0
26/07/2023,2470.75,2506.0,2446.0,2466.65,2479.6,123641,2472.45
27/07/2023,2428.4,2485.0,2415.0,2470.75,2445.56,79442,2470.75
28/07/2023,2463.2,2481.65,2431.1,2428.4,2461.29,83380,2437.0
31/07/2023,2492.2,2518.0,2467.0,2463.2,2490.25,95349,2477.0
01/08/2023,2481.1,2514.0,2455.25,2492.2,2480.87,66292,2504.85
